,Cluster Coefficient,Gamma,Node Degree
5243019,0.0,0.0,2
4426406,0.044444444444444446,0.6951941016011038,10
5476151,0.0,0.0,1
5374092,0.0,0.0,1
2325255,0.0,0.0,2
98451,0.0,0.0,2
4317061,0.0,0.0,8
403950,0.0,0.0,2
1147031,0.0,0.0,1
4747437,0.0,0.0,7
3014817,0.0,0.0,1
3787278,0.0,0.0,4
2659491,0.0,0.0,1
3473576,0.0,0.0,1
5354590,0.0,0.0,5
4391082,0.0,0.0,1
1944941,0.0,0.0,2
3801261,0.0,0.0,6
3656873,0.0,0.0,2
4546425,0.0,0.0,1
4772383,0.0,0.0,1
2177144,0.0,0.0,1
5179534,0.0,0.0,5
175212,0.0,0.0,1
65713,0.0,0.0,2
2209493,0.0,0.0,13
326725,0.0,0.0,2
4063411,0.0,0.0,2
2470634,0.16666666666666666,0.5,4
3703836,0.0,0.0,3
557236,0.0,0.0,2
912040,0.01818181818181818,0.5,11
780332,0.0,0.0,1
852151,0.0,0.0,2
3363685,0.0,0.0,2
3803891,0.0,0.0,2
4915384,0.0,0.0,2
414933,0.01818181818181818,0.5,11
1326574,0.0,0.0,3
2523319,0.0,0.0,4
1536505,0.0,0.0,1
2183333,0.0,0.0,1
861127,0.0,0.0,8
5493564,0.0,0.0,6
753851,0.0,0.0,1
759152,0.0,0.0,3
2457790,0.0,0.0,3
1461888,0.0,0.0,2
2262144,0.0,0.0,5
1810534,0.0,0.0,1
4980928,0.0,0.0,2
2699746,0.0,0.0,1
2355413,0.0,0.0,4
1638600,0.0,0.0,2
4519362,0.0,0.0,2
2946055,0.0,0.0,11
360654,0.0,0.0,3
3690248,0.047619047619047616,0.5,7
1077699,0.0,0.0,1
108456,0.06666666666666667,0.5,6
2588879,0.0,0.0,2
4866297,0.0,0.0,11
905115,0.0,0.0,1
3932366,0.0,0.0,2
4755337,0.0,0.0,1
251581,0.0,0.0,3
1966290,0.0,0.0,1
113907,0.0,0.0,3
3506388,0.0,0.0,1
3324318,0.0,0.0,10
4882645,0.3333333333333333,0.5,3
4716309,0.0,0.0,2
5129898,0.022222222222222223,0.5,10
5100238,0.3333333333333333,0.5,3
557268,0.0,0.0,1
1500551,0.3333333333333333,0.5,3
2851032,0.0,0.0,1
3397736,0.0,0.0,5
4325593,0.0,0.0,1
133534,0.0,0.0,2
5013720,0.0,0.0,2
4387641,0.0,0.0,3
4037484,0.0,0.0,3
3768539,0.0,0.0,1
1165388,0.0,0.0,2
32987,0.0,0.0,5
2100774,0.0,0.0,1
3425315,0.0,0.0,2
1284191,0.0,0.0,8
4205095,0.0,0.0,1
4996816,0.0,0.0,1
2031838,0.0,0.0,2
5300781,0.0,0.0,1
2271174,0.0,0.0,2
3375327,0.0,0.0,2
3630911,0.0,0.0,2
1571266,0.0,0.0,7
5177571,0.0,0.0,1
850208,0.0,0.0,9
3309796,0.0,0.0,2
1792113,0.0,0.0,2
857229,0.0,0.0,10
1147116,0.0,0.0,2
640980,0.0,0.0,4
4496742,0.1,0.5,5
3440879,0.0,0.0,2
1332595,0.0,0.0,4
4323271,0.0,0.0,8
3211512,0.0,0.0,1
4013667,0.0,0.0,24
688381,0.0,0.0,1
4029345,0.0,0.0,3
1736958,0.0,0.0,2
1318625,0.0,0.0,1
3735812,0.0,0.0,1
4347244,0.0,0.0,3
2261256,0.0,0.0,2
3073657,0.0,0.0,2
1913200,0.0,0.0,1
295179,0.0,0.0,1
4463683,0.0,0.0,3
4096274,0.0,0.0,1
4482016,0.0,0.0,2
1769747,0.0,0.0,3
1492579,0.0,0.0,1
5243889,0.0,0.0,2
3237177,0.0,0.0,3
4129052,0.0,0.0,1
4453289,0.044444444444444446,0.0,10
3178783,0.0,0.0,2
1001935,0.0,0.0,1
3959104,0.0,0.0,4
4489505,0.0,0.0,2
1375813,0.0,0.0,3
1853662,0.0,0.0,1
2916641,0.0,0.0,1
5495393,0.0,0.0,2
4555045,0.0,0.0,1
4262922,0.0,0.0,2
1212716,0.0,0.0,2
5398326,0.0,0.0,10
1962217,0.0,0.0,6
5112110,0.0,0.0,1
2730279,0.16666666666666666,0.5,4
5308731,0.0,0.0,1
311582,0.0,0.0,2
917820,0.0,0.0,2
796827,0.0,0.0,1
1848621,0.0,0.0,4
98621,0.0,0.0,1
5392470,0.0,0.0,3
2097470,0.0,0.0,1
1442112,0.0,0.0,2
5352723,0.0,0.0,3
1080899,0.0,0.0,2
3244359,0.0,0.0,1
4552459,0.0,0.0,3
1638734,0.0,0.0,1
1704274,0.0,0.0,4
2207796,0.0,0.0,4
2198228,0.0,0.0,2
1091304,0.0,0.0,2
660132,0.0,0.0,4
4817240,0.0,0.0,1
3336353,0.0,0.0,5
721241,0.0,0.0,2
5410614,0.0,0.0,1
4596920,0.0,0.0,6
2687324,0.0,0.0,1
2346681,0.0,0.0,2
2097501,0.0,0.0,4
3867984,0.0,0.0,2
510094,0.0,0.0,2
1405617,0.0,0.0,1
5139787,0.0,0.0,1
5112159,0.0,0.0,1
4055008,0.0,0.0,2
3080548,0.0,0.0,1
3442574,0.0,0.0,8
4424038,0.0,0.0,1
1200064,0.1,0.5,5
5407079,0.0,0.0,1
782455,0.0,0.0,2
655721,0.0,0.0,3
431361,0.0,0.0,2
394867,0.0,0.0,2
1424692,0.0,0.0,2
4489578,0.0,0.0,2
4504673,0.0,0.0,1
4364759,0.0,0.0,8
4260210,0.0,0.0,2
2923565,0.0,0.0,1
131444,0.0,0.0,3
5282547,0.0,0.0,1
1523451,0.3333333333333333,0.5,3
2128890,0.0,0.0,1
4456822,0.0,0.0,1
5177189,0.0,0.0,2
4325755,0.0,0.0,1
3676373,0.16666666666666666,0.5,4
4948354,0.027777777777777776,0.5,9
5163182,0.0,0.0,1
2129251,0.0,0.0,1
4094980,0.0,0.0,1
1580944,0.0,0.0,1
4099301,0.0,0.0,1
4791534,1.0,0.5,2
2820501,0.0,0.0,1
4864590,1.0,0.5,2
3223026,0.0,0.0,3
557449,0.0,0.0,1
4225992,0.0,0.0,10
5505422,0.0,0.0,8
2078211,0.0,0.0,3
3075082,0.0,0.0,3
5101829,0.0,0.0,2
5350268,0.0,0.0,1
4136581,0.0,0.0,2
2875970,0.0,0.0,1
3908182,0.0,0.0,2
3280929,0.0,0.0,1
2851215,0.0,0.0,2
1512844,0.0,0.0,9
4655775,0.0,0.0,8
98703,0.0,0.0,9
3547578,0.0,0.0,1
3200416,0.0,0.0,2
1561445,0.0,0.0,2
2176392,0.0,0.0,2
451221,0.0,0.0,3
5265612,0.0,0.0,1
5490872,0.0,0.0,1
3860102,0.0,0.0,2
1118139,0.0,0.0,2
2490770,0.0,0.0,1
2095696,0.005847953216374269,0.5,19
950676,0.0,0.0,2
5234920,0.0,0.0,4
5362860,0.0,0.0,3
2883996,0.0,0.0,3
758373,0.0,0.0,3
225215,0.0,0.0,3
4046454,0.0,0.0,1
4981150,0.0,0.0,4
4756400,0.0,0.0,3
817265,0.0,0.0,4
671790,0.0,0.0,3
164259,0.0,0.0,1
688552,0.0,0.0,2
5042485,0.0,0.0,4
1772838,0.0,0.0,4
1376687,0.0,0.0,2
1944209,0.0,0.0,2
3801522,0.0,0.0,2
3120494,0.0,0.0,3
3922520,0.0,0.0,2
3637686,0.0,0.0,1
1409464,0.0,0.0,1
1796594,0.0,0.0,3
3670456,0.0,0.0,8
4347375,0.0,0.0,2
1723903,0.0,0.0,2
245139,0.0,0.0,2
4346920,0.0,0.0,1
786967,0.0,0.0,2
1447818,0.0,0.0,2
4860649,0.0,0.0,1
4483366,0.0,0.0,1
2392508,0.0,0.0,1
1223786,0.0,0.0,6
2884028,0.0,0.0,1
2522623,0.0,0.0,2
3408322,0.0,0.0,1
2154657,0.0,0.0,5
4817351,0.0,0.0,18
2015368,0.0,0.0,6
4635235,0.0,0.0,1
4076051,0.0,0.0,20
373456,0.0,0.0,3
4742322,0.0,0.0,2
3950492,0.0,0.0,9
4679196,0.0,0.0,3
3638650,0.0,0.0,1
3077967,0.0,0.0,1
833177,0.0,0.0,1
3730737,0.0,0.0,17
5318269,0.0,0.0,2
5289045,0.0,0.0,1
691702,0.0,0.0,1
4791653,0.0,0.0,3
1647956,0.0,0.0,1
558720,0.0,0.0,1
4921043,0.0,0.0,1
4653512,0.0,0.0,1
5158032,0.0,0.0,2
3604938,0.0,0.0,1
1245642,0.0,0.0,2
3651316,0.0,0.0,3
4863019,0.0,0.0,1
2490832,0.0,0.0,1
189314,0.0,0.0,2
685526,0.0,0.0,10
3736028,0.0,0.0,2
2957205,0.0,0.0,2
3180172,0.0,0.0,2
4358623,0.0,0.0,4
2644605,0.0,0.0,7
4549205,0.0,0.0,3
2265748,0.01098901098901099,0.5,14
1307484,0.0,0.0,1
2589159,0.0,0.0,1
5013999,0.0,0.0,1
609596,0.0,0.0,3
1180144,0.0,0.0,1
467774,0.0,0.0,3
1802747,0.0,0.0,1
1731121,0.0,0.0,2
4555265,0.0,0.0,1
1037866,0.0,0.0,9
4358659,0.0,0.0,2
1395551,0.0,0.0,1
3658454,0.0,0.0,3
4194827,0.0,0.0,1
5376285,0.0011074197120708748,0.5,43
2163217,0.0,0.0,3
921668,0.0,0.0,2
1723429,0.0,0.0,2
2653793,0.0,0.0,1
3441171,0.0,0.0,1
1964206,0.0,0.0,2
98837,0.0,0.0,2
3916994,0.0,0.0,1
1787248,0.0,0.0,15
5336303,0.0,0.0,6
4260383,0.0,0.0,2
2093429,0.0,0.0,16
2601158,0.0,0.0,1
4653609,0.0,0.0,1
3310276,0.0,0.0,9
5276202,0.0,0.0,4
4478322,0.0,0.0,1
743115,0.0,0.0,2
3464432,0.0,0.0,2
131700,0.0,0.0,2
1016362,0.0,0.0,1
3033305,0.0,0.0,3
3506736,0.0,0.0,1
1517521,0.0,0.0,149
1212985,0.0,0.0,2
1499270,0.0,0.0,3
2196027,0.0,0.0,2
5306026,0.0,0.0,2
2871035,0.06666666666666667,0.5,6
2032201,0.0,0.0,2
5423889,0.0,0.0,2
4179090,0.0,0.0,1
1606219,0.0,0.0,2
3523821,0.0,0.0,2
4263753,0.16666666666666666,0.5,4
4260427,0.0,0.0,4
1336841,0.0,0.0,2
83261,0.0,0.0,1
5359957,0.0,0.0,1
4671671,0.0,0.0,1
655949,0.0,0.0,2
296483,0.0,0.0,6
1728836,0.0,0.0,1
1540692,0.0,0.0,1
3674077,0.0,0.0,3
787031,0.0,0.0,2
4054861,0.0,0.0,5
1414293,0.16666666666666666,0.5,4
393817,0.0,0.0,1
4688621,0.0,0.0,8
2097754,0.0,0.0,4
1313694,0.0,0.0,1
5072080,0.006535947712418301,0.5,18
5170228,0.0,0.0,1
4093875,0.0,0.0,8
3244652,0.1,0.5,5
2281834,0.0,0.0,4
4234104,0.01282051282051282,0.5,13
3292007,0.06666666666666667,0.5,6
5039522,0.047619047619047616,0.5,7
4139774,0.0,0.0,4
3474030,0.0,0.0,1
3670642,0.0,0.0,1
2832283,0.0,0.0,17
2473408,0.0,0.0,2
5505657,0.0,0.0,1
316467,0.0,0.0,4
2032252,0.0,0.0,1
5504101,0.3333333333333333,0.5,3
66176,0.0,0.0,1
2830260,0.0,0.0,31
1475205,0.0,0.0,2
3726819,0.0,0.0,3
3609307,0.0,0.0,1
33414,0.0,0.0,2
1420628,0.0,0.0,5
4298689,0.0,0.0,1
2982537,0.0,0.0,1
2502487,0.0,0.0,80
5505676,0.0,0.0,1
3480461,0.0,0.0,2
1344141,0.0,0.0,1
2433304,0.0,0.0,17
2884245,0.0,0.0,2
401075,0.0,0.0,1
1737366,0.0,0.0,2
3894257,0.0,0.0,14
1591539,0.0,0.0,1
1868438,0.0,0.0,1
5182154,0.0,0.0,2
2949784,0.0,0.0,2
2766550,0.0,0.0,1
2687649,0.0,0.0,6
106631,0.0,0.0,1
4956490,0.0,0.0,4
2693650,0.0,0.0,6
3001557,0.0,0.0,1
4812351,0.0,0.0,3
66212,0.0,0.0,1
2904644,0.1,0.5,5
4719269,0.0,0.0,1
2023041,0.0,0.0,4
393896,0.0,0.0,1
1897314,0.0,0.0,2
4948648,0.0,0.0,2
2954493,0.0,0.0,1
2073957,0.0,0.0,14
4850346,0.0,0.0,1
2731944,0.0,0.0,9
1082034,0.0,0.0,2
1715425,0.0,0.0,2
661780,0.0,0.0,2
3834550,0.0,0.0,2
497880,0.0,0.0,7
3323540,0.0,0.0,1
197305,0.0,0.0,1
2653702,0.0,0.0,3
3932858,0.0,0.0,1
4776762,0.0,0.0,3
2097854,0.0,0.0,2
2364225,0.0,0.0,1
4147080,0.0,0.0,14
596748,0.0,0.0,2
4000738,0.0,0.0,1
5254652,0.0,0.0,2
1696691,0.0,0.0,1
3563168,0.0,0.0,2
4712757,0.0,0.0,1
4634990,0.0,0.0,1
2618320,0.0,0.0,2
1802951,1.0,0.5,2
1874590,1.0,0.5,2
4391629,0.0,0.0,1
301190,0.0,0.0,4
2294484,0.0,0.0,3
2245123,0.0,0.0,2
4433359,0.0,0.0,4
817157,0.0,0.0,3
2982613,0.0,0.0,4
1364518,0.0,0.0,2
2832981,0.0,0.0,1
3728363,0.0,0.0,2
59854,0.0,0.0,1
2065109,0.0,0.0,2
2341528,0.0,0.0,2
724118,0.0,0.0,3
1049305,0.0,0.0,5
358179,0.0,0.0,3
2975407,0.0,0.0,2
676499,0.0,0.0,1
3973106,0.0,0.0,1
2954110,0.0,0.0,1
4588251,0.0,0.0,3
2464269,0.0,0.0,1
2268504,0.0,0.0,18
1770210,0.0,0.0,1
197399,0.0,0.0,3
1409764,0.0,0.0,1
5008036,0.0,0.0,12
1573606,0.0,0.0,1
3825320,0.0,0.0,13
1442537,0.0,0.0,2
2999367,0.0,0.0,11
4904547,0.0,0.0,1
3506923,0.0,0.0,2
875324,0.0,0.0,3
510499,0.0,0.0,1
4817645,0.0,0.0,1
3231773,0.0,0.0,2
3212014,0.0,0.0,6
4473271,0.0,0.0,1
4593241,0.0,0.0,2
1408827,0.0,0.0,3
5406147,0.0,0.0,2
878877,0.0,0.0,2
4176119,0.0,0.0,2
5079792,0.0,0.0,1
2358652,0.0,0.0,11
1540852,0.0,0.0,1
965735,0.0,0.0,2
3244789,0.0,0.0,2
639914,0.0,0.0,1
3654408,0.0,0.0,2
2491128,0.0,0.0,1
3568545,0.0,0.0,2
1311480,0.0,0.0,1
4744889,0.0,0.0,4
3638025,0.0,0.0,1
3474185,0.0,0.0,2
2172998,0.0,0.0,5
258243,0.0,0.0,3
3179276,0.0,0.0,2
3562364,0.0,0.0,27
1536959,0.0,0.0,2
2851606,0.0,0.0,1
4941570,0.0,0.0,11
2150042,0.0,0.0,2
4176460,0.0,0.0,2
2458390,0.0,0.0,5
3807924,0.0,0.0,1
3399089,0.0,0.0,4
1209767,0.0,0.0,3
2433633,0.0,0.0,1
1442585,0.0,0.0,1
1168500,0.0,0.0,2
2032406,0.0,0.0,2
1673564,0.0,0.0,3
3507760,0.0,0.0,4
4915994,0.0,0.0,2
3515811,0.0,0.0,1
1547751,0.022222222222222223,0.5,10
5407516,0.0,0.0,1
519825,0.010526315789473684,0.0,20
2360111,1.0,0.5,2
2374763,0.3333333333333333,0.5,3
2074203,0.05555555555555555,0.0,9
230195,0.0,0.0,2
4495120,0.0,0.0,6
721721,0.0,0.0,1
3165449,0.0,0.0,4
3441468,0.0,0.0,2
398461,0.0,0.0,2
5384287,0.0,0.0,8
1246013,0.0,0.0,2
4775727,0.0,0.0,11
2130759,0.0,0.0,1
3474248,0.0,0.0,1
556516,0.0,0.0,2
787276,0.0,0.0,2
744836,0.0,0.0,1
5018333,0.0,0.0,3
5047116,0.0,0.0,1
2094871,0.0,0.0,2
2261850,0.0,0.0,1
1062307,0.0,0.0,5
1344350,0.0,0.0,1
421697,0.0,0.0,6
4719456,0.0,0.0,1
4481535,0.0,0.0,83
5276514,0.0,0.0,2
1862678,0.0,0.0,1
850998,0.0,0.0,5
3638116,0.0,0.0,1
497571,0.0,0.0,3
754536,0.0,0.0,1
2170058,0.0,0.0,2
1704811,0.0,0.0,1
3769198,0.0,0.0,2
5335204,0.0,0.0,1
1306913,0.045454545454545456,0.3333333333333333,12
3441518,0.0,0.0,2
1463614,0.0,0.0,1
4744863,0.3333333333333333,0.5,3
5079929,0.0,0.0,1
2579051,0.0,0.0,11
3081087,0.0,0.0,2
2752292,0.0,0.0,2
3972796,0.0,0.0,3
852866,0.0,0.0,1
905838,0.0,0.0,2
1344390,0.0,0.0,2
2059312,0.0,0.0,8
5485445,0.0,0.0,1
2327434,0.0,0.0,2
1624423,0.0,0.0,2
4519771,0.0,0.0,1
1934218,0.0,0.0,2
1650004,0.0,0.0,2
2819150,0.0,0.0,1
1508241,0.0,0.0,3
5121224,0.0,0.0,2
3752425,0.0,0.0,1
5374868,0.0,0.0,2
1611343,0.0,0.0,1
4588437,0.0,0.0,3
3094135,0.0,0.0,1
2639073,0.0,0.0,2
226275,0.0,0.0,2
2491284,0.0,0.0,1
1420932,0.0,0.0,14
4293541,0.0,0.0,2
4224559,0.0,0.0,28
519058,0.0,0.0,6
2589609,0.0,0.0,2
3460299,0.0,0.0,3
4967323,0.0,0.0,7
5079980,0.0,0.0,1
4146397,0.0,0.0,2
1541037,0.0,0.0,3
3392715,0.0,0.0,1
1830045,0.0,0.0,1
5276594,0.0,0.0,2
4368348,0.0,0.0,2
525236,0.0,0.0,1
4436123,0.16666666666666666,0.5,4
66485,0.0,0.0,2
1103251,0.0,0.0,3
1115063,0.0,0.0,4
3651376,0.0,0.0,12
5311950,0.0,0.0,1
1573816,0.0,0.0,2
2061000,0.0,0.0,1
2998429,0.027777777777777776,0.5,9
820156,0.0,0.0,1
2339626,0.0,0.0,4
1442754,0.0,0.0,2
399390,0.0,0.0,11
4884299,0.0,0.0,1
2163658,0.0,0.0,4
3380372,0.0,0.0,1
2495256,0.0,0.0,2
3693387,0.0,0.0,1
3834827,0.0,0.0,2
5072491,0.0,0.0,1
2753484,0.0,0.0,1
1322649,0.0,0.0,7
787402,0.0,0.0,2
584129,0.0,0.0,2
4951612,0.0,0.0,3
459728,0.0,0.0,3
3383408,0.0,0.0,3
228228,0.0,0.0,1
77705,0.0,0.0,1
656345,0.0,0.0,4
1587905,0.0,0.0,1
4189915,0.0,0.0,2
5044249,0.0,0.0,1
2633530,0.0,0.0,1
164827,0.0,0.0,4
3365408,0.0,0.0,3
5425696,0.1,0.5,5
833392,0.0,0.0,1
4544646,0.0,0.0,2
3900388,0.0,0.0,1
326273,0.0,0.0,3
3048424,0.0,0.0,2
2960558,0.0,0.0,1
401065,0.0,0.0,2
1868776,0.0,0.0,1
852970,0.0,0.0,1
3105157,0.0,0.0,3
984042,0.0,0.0,1
3818972,0.0,0.0,2
5012017,0.0,0.0,1
3376114,0.1,0.5,5
617400,0.0,0.0,1
473713,0.0,0.0,7
3337785,0.0,0.0,1
3343412,1.0,0.5,2
2209520,1.0,0.5,2
3572728,0.0,0.0,1
4635214,0.0,0.0,2
4129785,0.0,0.0,2
3587715,0.0,0.0,9
2622461,0.0,0.0,5
2623964,0.0,0.0,5
3725271,0.0,0.0,15
777894,0.0,0.0,1
4544368,0.0,0.0,3
99336,0.0,0.0,1
5497218,0.0,0.0,2
3703821,0.0,0.0,2
2243414,0.0,0.0,5
3454644,0.03571428571428571,0.5,8
4097046,0.0,0.0,2
4827996,0.0,0.0,1
5402733,0.03571428571428571,0.5,8
4785178,0.0,0.0,1
74048,0.0,0.0,2
4808496,0.0,0.0,2
5465686,0.0,0.0,1
3245085,0.0,0.0,2
3308789,0.0,0.0,1
4593929,0.0,0.0,2
5211170,0.0,0.0,1
2473493,0.0,0.0,4
2098211,0.0,0.0,1
5154153,0.07142857142857142,0.0,8
5440548,0.0,0.0,1
4205983,0.0,0.0,4
4031526,0.0,0.0,1
1358107,0.0,0.0,5
2327592,0.0,0.0,4
1032559,0.0,0.0,4
5062919,0.0,0.0,1
967708,0.0,0.0,2
4677340,0.0,0.0,1
4031530,0.0,0.0,1
341368,0.047619047619047616,0.5,7
5506092,0.0,0.0,1
3592620,0.0,0.0,3
4916270,0.0,0.0,1
1566913,0.0,0.0,8
4785199,0.0,0.0,2
3110249,0.0,0.0,1
2213101,0.0,0.0,6
230449,0.0,0.0,2
4060232,0.0,0.0,2
4661695,0.0,0.0,10
1639473,0.0,0.0,2
4687242,0.0,0.0,1
4555828,0.0,0.0,2
4536882,0.0,0.0,2
5112885,0.0,0.0,1
314637,0.0,0.0,2
4981815,0.0,0.0,1
4420476,0.0,0.0,2
2851899,0.0,0.0,2
1164357,0.0,0.0,1
4031547,0.3333333333333333,0.5,3
1329051,0.3333333333333333,0.5,3
3293467,0.16666666666666666,0.5,4
4878494,0.0,0.0,5
4752445,0.0,0.0,1
525376,0.0,0.0,2
5430901,0.0,0.0,1
2807325,0.0,0.0,2
328770,0.0,0.0,1
1246279,0.0,0.0,1
1085519,0.0,0.0,2
5309518,0.0,0.0,1
3231436,0.0,0.0,2
33875,0.0,0.0,2
4157781,0.0,0.0,2
22893,0.0,0.0,3
2720856,0.0,0.0,2
3478380,0.0,0.0,2
2430641,0.0,0.0,1
4293720,0.0,0.0,2
3030825,0.0,0.0,2
1624155,0.0,0.0,2
5375064,0.0,0.0,1
3626895,0.0,0.0,2
3441765,0.0,0.0,1
2878230,0.0,0.0,6
3769446,0.1,0.5,5
128302,1.0,0.5,2
4451174,0.0,0.0,3
1719287,0.16666666666666666,0.5,4
2290007,0.0,0.0,1
4337140,0.0,0.0,1
3277927,0.0,0.0,1
296037,0.0,0.0,3
3975063,0.0,0.0,5
2070483,0.0,0.0,1
5019134,0.0,0.0,2
33894,0.0,0.0,2
1176611,0.0,0.0,1
620194,0.0,0.0,3
689256,0.0,0.0,3
2756432,0.0,0.0,1
5020131,0.0,0.0,2
3245159,0.0,0.0,1
1458349,0.0,0.0,3
3441774,0.0,0.0,1
2131054,0.0,0.0,2
3538188,0.0,0.0,7
4526739,0.0,0.0,1
3409009,0.0,0.0,2
2483469,0.0,0.0,3
294871,0.0,0.0,2
3212406,0.0,0.0,2
4420165,0.0,0.0,5
4207689,0.022222222222222223,0.5,10
4424822,0.0,0.0,1
638061,0.0,0.0,3
1229714,0.0,0.0,1
4418255,0.0,0.0,2
1495434,0.0,0.0,3
3929034,0.0,0.0,2
4260995,0.0,0.0,2
3588191,0.0,0.0,11
5240397,0.0,0.0,3
2327689,0.0,0.0,1
4950397,0.0,0.0,2
1705099,0.0,0.0,2
36943,0.0,0.0,1
700504,0.0,0.0,2
4588687,0.0,0.0,1
4400793,0.0,0.0,4
2851994,0.0,0.0,1
1571954,0.0,0.0,4
5112992,0.0,0.0,2
2206433,0.0,0.0,1
3731046,0.0,0.0,3
4752546,0.0,0.0,2
5384776,0.0,0.0,3
525482,0.0,0.0,1
3638447,0.0,0.0,1
3217973,0.0,0.0,3
820402,0.0,0.0,1
2196658,0.0,0.0,1
1988332,0.0,0.0,2
4818101,0.0,0.0,1
5445739,0.0,0.0,3
885945,0.0,0.0,1
1493672,0.0,0.0,2
1246400,0.0,0.0,1
4269884,0.0,0.0,2
3671234,0.0,0.0,1
4901917,0.0,0.0,2
3048643,0.0,0.0,1
1049794,0.0,0.0,2
4376681,0.3333333333333333,0.5,3
1776610,0.0,0.0,2
2098379,0.0,0.0,1
188551,0.0,0.0,4
4228302,0.0,0.0,3
255470,0.0,0.0,2
4999469,0.0,0.0,1
4619544,0.0,0.0,6
394449,0.0,0.0,2
858998,0.0,0.0,2
4238046,0.0,0.0,2
3540178,0.0,0.0,1
622449,0.0,0.0,2
1311955,0.0,0.0,2
763008,0.0,0.0,9
1433580,0.0,0.0,3
3933398,0.0,0.0,2
3714357,0.0,0.0,2
3320332,0.0,0.0,2
4654295,0.0,0.0,1
4082495,0.0,0.0,2
2983129,0.0,0.0,1
2557146,0.0,0.0,2
1731925,0.0,0.0,19
2295004,0.0,0.0,1
1961296,0.0,0.0,2
3048674,0.0,0.0,2
3561681,0.0,0.0,2
2712096,0.0,0.0,7
1803502,0.0,0.0,1
5092546,0.0,0.0,15
5145841,0.0,0.0,2
308000,0.0,0.0,2
4195582,0.0,0.0,2
5438492,0.0,0.0,5
1105971,0.0,0.0,2
394499,0.0,0.0,2
3230228,0.0,0.0,3
4119561,0.0,0.0,3
2884876,0.0,0.0,2
5264256,0.0,0.0,4
2786573,0.0,0.0,1
4982031,0.0,0.0,1
3893024,0.0,0.0,2
394522,0.0,0.0,1
3707818,0.0,0.0,2
1377564,0.0,0.0,2
3784012,0.0,0.0,1
5102480,0.16666666666666666,0.5,4
3212574,0.0,0.0,1
4752675,0.0,0.0,2
3325454,0.0,0.0,1
1312041,0.0,0.0,2
4675831,0.0,0.0,1
3036263,0.0,0.0,4
1901868,0.0,0.0,1
1684839,0.0,0.0,3
4490542,0.0,0.0,2
2142171,0.0,0.0,1
5018600,0.0,0.0,16
4916527,0.0,0.0,1
1649909,0.0,0.0,2
3507506,0.0,0.0,2
4152783,0.0,0.0,1
487895,0.0,0.0,10
4556083,0.0,0.0,1
4386986,0.0,0.0,2
